Company,Domain,Location,Priority
Algoscale Technologies,algoscale.com,Noida,High
Bytesview Analytics,bytesview.com,Noida,High
Impressico Business Solutions,impressico.com,Noida,High
Knoldus (NashTech),knoldus.com,Noida,High
TechnoData Analytics,technodataanalytics.com,Noida,High
Polestar Solutions,polestarllp.com,Noida,High
Easy Data Feed,easydatafeed.com,Noida,High
Datametica Solutions,datametica.com,Noida,High
Softpath System,softpathsys.com,Noida,High
AbyM Technology,abym.in,Noida,High
Rannkly,rannkly.com,Noida,High
Taksh IT Solutions,takshit.com,Noida,High
STLabs India,stlabsindia.com,Noida,High
Absolutdata,absolutdata.com,Gurugram,High
LatentView Analytics,latentview.com,Gurugram/Noida,High
Mu Sigma,mu-sigma.com,Gurugram,High
Analytics Training Hub,analytixlabs.co.in,Gurugram,High
Numerize,numerize.in,Noida,High
Info Edge (Naukri),infoedge.in,Noida,Medium
Innovaccer,innovaccer.com,Noida,Medium
Paytm,paytm.com,Noida,Medium
Nagarro,nagarro.com,Noida,Medium
Coforge,coforge.com,Noida,Medium
Newgen Software,newgensoft.com,Noida,Medium
Nucleus Software,nucleussoftware.com,Noida,Medium
Delhivery,delhivery.com,Gurugram,Medium
GlobalLogic,globallogic.com,Noida,Medium
Genpact,genpact.com,Gurugram,Medium
MakeMyTrip,makemytrip.com,Gurugram,Medium
Extramarks Education,extramarks.com,Noida,Medium
Zomato,zomato.com,Gurugram,Medium
PolicyBazaar,policybazaar.com,Gurugram,Medium
Yodlee,yodlee.com,Noida,Medium
HCLTech,hcltech.com,Noida,MNC
Tech Mahindra,techmahindra.com,Noida,MNC
TCS,tcs.com,Noida,MNC
Wipro,wipro.com,Noida,MNC
Accenture,accenture.com,Gurugram/Noida,MNC
IBM India,ibm.com,Noida,MNC
Cognizant,cognizant.com,Noida,MNC
Capgemini,capgemini.com,Noida,MNC
Deloitte USI,deloitte.com,Gurugram,MNC
EXL Service,exlservice.com,Noida,MNC
WNS Analytics,wns.com,Gurugram,MNC
